Provider Number,Hospital 30-Day Death (Mortality) Rates from Heart Failure,Hospital 30-Day Death (Mortality) Rates from Pneumonia
100080,11.6,11
100081,12.2,13.2
100084,12.3,12.2
100086,12,11.3
100087,12.7,10.4
100088,11.3,11.3
100090,9,8.9
100092,13.2,10.6
100093,11.2,13.6
100099,11.3,13.2
10009F,12.1,10.8
100102,10.4,11.6
100105,13.1,12.7
100106,12.2,13.4
100107,12.3,10.9
100109,8.6,9.9
100110,11.5,13.8
100113,10.2,10
100117,12.5,12.1
100118,11.7,12.9
100121,11.3,11.5
100122,11.7,12.7
100124,11.3,13.1
100125,11.8,10.6
100126,12.1,11.9
100127,11.3,11.7
100128,10.7,11.5
100130,10.6,11.1
100131,9.6,8.9
100132,11.8,11.4
100135,11.5,10.6
100137,9.8,10.1
100139,10.6,11.5
100140,12.4,12.2
100142,9.7,10.8
100150,11.7,12
100151,11.5,12.4
100154,8.7,12.6
100156,8.7,11.5
100157,11,11
100161,9.2,12.8
100166,10.8,15.1
100167,11.2,11.4
100168,10.7,10.5
100173,12,11.8
100175,10,13.2
100176,10.1,9.6
100177,12,12.7
100179,8.8,11.9
100180,11,11.4
100181,11.6,10.1
100183,9.9,9.5
100187,11.8,13.6
100189,10.6,9.8
100191,12.4,14.8
100200,10.6,15
100204,10,11.2
100206,9.2,11.3
100209,12.2,10.1
100211,12.8,12.7
100212,11.8,11.1
100213,13,10.8
100217,10.9,11.5
100220,11.3,12.1
100223,12.3,11.5
100224,12.3,12.2
100226,13.4,16.4
100228,12.9,14.5
100230,9.9,11.5
100231,13.5,10.6
100232,14,14.4
100234,13.4,14.1
100236,9.9,12
100238,10.3,12.4
100239,10.6,11.3
100240,Not Available,Not Available
100242,10.2,11.4
100243,9.7,10.9
100244,11.8,12.9
100246,12.4,8.9
100248,11,12.6
100249,13.9,18.2
100252,9.3,12.1
100253,11.2,8.5
100254,11.8,9.2
100255,9.6,10.2
100256,11.3,13.6
100258,12.3,8.8
100259,11.1,11.6
100260,14.1,13.1
100264,11.2,13.6
100265,11.7,10.3
100266,9.7,11.4
100267,10.2,12.2
100268,12.6,10.7
100269,11.8,12.4
100275,13.5,12.1
100276,10.6,12.2
100277,Not Available,11.7
100281,11.2,10.9
100284,10.9,9.7
100285,11.3,10.4
100286,13,10.3
100287,10.2,11.2
100288,10.9,12.6
100289,8.9,9.1
100290,11.7,13.2
100291,9.9,11.3
100292,11.9,12.1
100296,9.1,9.2
100299,10.7,10.9
100302,10.9,12.7
100307,9.2,11.5
100313,Not Available,Not Available
100314,Not Available,Not Available
100315,Not Available,Not Available
100316,Not Available,Not Available
10057F,11.9,9.6
10063F,11.2,10.9
10064F,9.5,11.8
10065F,9.7,9.3
101300,Not Available,10.2
101301,14.3,14.7
101302,11.6,11.7
101303,Not Available,Not Available
101305,Not Available,11.1
101307,11.1,14.7
101308,13.3,12.9
101309,13,11.4
101310,10.8,11.5
101311,13.4,13.5
101312,10.8,11.5
101313,9.8,10.6
110001,11.3,11.2
110002,13.3,17.5
110003,12.1,12.6
110004,13.2,11.5
110005,12.2,13.5
110006,12.6,13.6
110007,14.2,12
110008,12.4,11.6
110010,9.2,12
110011,13.5,12
110015,12.6,9.7
110016,9.2,12.7
110018,11.7,11.1
110023,13.6,10.3
110024,12.2,10.7
