Provider Id,Provider Zip Code,Provider State,Zip Latitude,Zip Longitude
50320,94602,CA,37.799727,-122.21211
50324,92037,CA,32.838761,-117.26159
50327,92354,CA,34.050764,-117.25327
50329,92882,CA,33.866555,-117.59167
50334,93901,CA,36.665879,-121.65497
50335,95370,CA,37.995238,-120.34370
50336,95240,CA,38.124630,-121.25039
50342,92227,CA,32.989750,-115.50475
50348,92868,CA,33.787266,-117.87494
50350,90640,CA,34.014212,-118.11358
50351,90509,CA,33.810848,-118.35096
50352,96158,CA,38.908741,-120.00992
50353,90503,CA,33.840264,-118.35587
50357,93111,CA,34.443529,-119.80297
50359,93274,CA,36.201451,-119.34994
50360,94904,CA,37.950069,-122.54284
50367,94533,CA,38.269582,-122.03701
50373,90033,CA,34.050411,-118.21195
50376,90509,CA,33.810848,-118.35096
50378,91352,CA,34.224089,-118.37563
50380,95124,CA,37.256743,-121.92312
50382,91723,CA,34.085809,-117.88694
50385,95472,CA,38.393314,-122.83666
50390,92543,CA,33.735420,-116.97401
50393,90241,CA,33.942289,-118.12901
50394,93003,CA,34.268736,-119.22490
50396,93102,CA,34.420163,-119.70650
50397,93210,CA,36.194736,-120.30865
50407,94133,CA,37.801878,-122.41018
50411,90710,CA,33.797317,-118.30065
50414,95630,CA,38.672127,-121.15783
50417,95531,CA,41.782681,-124.16703
50423,92225,CA,33.628333,-114.61905
50424,92037,CA,32.838761,-117.26159
50425,95825,CA,38.594205,-121.40726
50426,92804,CA,33.818165,-117.97304
50434,95932,CA,39.254875,-122.04572
50435,92028,CA,33.380359,-117.20605
50438,91109,CA,34.122658,-118.11296
50441,94305,CA,37.427039,-122.16496
50444,95340,CA,37.294648,-120.47474
50448,93555,CA,35.599177,-117.68065
50454,94143,CA,37.719581,-122.41085
50455,93301,CA,35.381408,-119.01935
50457,94117,CA,37.770937,-122.44276
50464,95350,CA,37.671778,-121.01249
50468,90247,CA,33.891265,-118.29750
50471,90017,CA,34.052561,-118.26434
50481,91307,CA,34.197737,-118.64797
50485,90806,CA,33.801767,-118.18580
50488,94546,CA,37.702063,-122.07934
50492,93611,CA,36.840057,-119.66107
50496,94520,CA,37.986321,-122.03988
50498,95603,CA,38.909605,-121.07971
50502,90057,CA,34.061911,-118.27687
50503,92024,CA,33.053092,-117.26855
50506,93405,CA,35.277189,-120.70305
50510,94903,CA,38.019022,-122.54589
50512,94545,CA,37.635582,-122.10418
50515,92120,CA,32.794449,-117.07221
50516,95608,CA,38.628371,-121.32702
50517,92392,CA,34.489466,-117.35321
50523,94509,CA,37.991571,-121.80207
50526,92647,CA,33.725167,-118.00509
50528,93635,CA,37.048385,-120.86983
50531,90706,CA,33.888165,-118.12760
50534,92201,CA,33.715271,-116.23500
50537,95616,CA,38.549256,-121.73655
50541,94063,CA,37.483504,-122.21440
50543,92627,CA,33.647028,-117.91506
50546,93257,CA,36.055121,-119.01595
50547,95431,CA,38.347913,-122.51753
50548,92626,CA,33.677224,-117.90863
50549,91360,CA,34.208837,-118.87348
50551,90720,CA,33.794028,-118.07218
50557,95355,CA,37.673513,-120.95566
50561,90034,CA,34.030560,-118.39804
50567,92691,CA,33.611272,-117.66681
50568,93637,CA,36.914819,-120.15817
50570,92708,CA,33.708618,-117.95629
50573,92270,CA,33.762944,-116.42249
50575,90716,CA,33.828565,-118.07364
50580,90623,CA,33.849327,-118.04395
50581,90712,CA,33.851965,-118.14680
50586,91710,CA,34.015963,-117.68737
50588,91773,CA,34.103341,-117.81814
50589,92870,CA,33.883314,-117.85446
50590,95823,CA,38.477508,-121.44561
50597,91740,CA,34.119245,-117.85480
50599,95817,CA,38.551106,-121.45996
50603,92653,CA,33.602823,-117.71295
50604,95119,CA,37.232244,-121.79092
50608,93215,CA,35.774967,-119.23371
50609,92807,CA,33.850515,-117.79113
50616,93010,CA,34.231754,-119.05258
50618,92315,CA,34.241295,-116.90328
50624,91355,CA,34.406519,-118.56214
50625,90048,CA,34.073759,-118.37376
50633,93465,CA,35.544640,-120.72428
50636,92064,CA,32.973645,-117.03701
50641,90023,CA,34.023039,-118.20231
50644,90018,CA,34.029112,-118.31830
50663,90023,CA,34.023039,-118.20231
50668,94116,CA,37.743381,-122.48578
50674,95823,CA,38.477508,-121.44561
50677,91367,CA,34.176238,-118.61992
50678,92708,CA,33.708618,-117.95629
50680,95688,CA,38.380528,-121.99192
50684,92585,CA,33.742936,-117.17432
50686,92505,CA,33.921765,-117.48812
50688,95020,CA,37.016943,-121.56581
50689,94583,CA,37.757350,-121.95213
50690,95403,CA,38.480494,-122.74976
50696,90033,CA,34.050411,-118.21195
50697,96001,CA,40.568160,-122.41519
50701,92562,CA,33.568617,-117.25264
50704,91402,CA,34.223753,-118.44322
50708,93710,CA,36.825582,-119.76358
50709,92395,CA,34.559650,-117.35773
50714,95065,CA,37.010322,-121.98523
50717,90242,CA,33.920180,-118.14291
50723,91706,CA,34.087108,-117.96966
50724,93308,CA,35.487491,-119.00896
50726,95355,CA,37.673513,-120.95566
50727,90804,CA,33.783467,-118.15182
50732,93720,CA,36.865587,-119.75917
50735,90605,CA,33.945413,-118.03362
50736,91754,CA,34.048207,-118.14161
50737,91754,CA,34.048207,-118.14161
50738,91733,CA,34.050510,-118.04834
50739,90301,CA,33.955913,-118.35868
50740,90291,CA,33.992411,-118.46531
50742,90036,CA,34.070360,-118.34926
50744,92805,CA,33.835665,-117.90807
50745,92869,CA,33.792687,-117.79975
50746,92705,CA,33.762117,-117.81828
50747,92704,CA,33.724167,-117.90623
50748,95337,CA,37.782332,-121.23578
50752,90231,CA,33.997179,-118.40145
50755,91403,CA,34.152513,-118.46396
50757,92120,CA,32.794449,-117.07221
50758,91763,CA,34.070410,-117.69938
50760,94531,CA,37.917774,-122.30426
50761,91356,CA,34.164255,-118.54472
50763,90026,CA,34.078510,-118.26596
50764,96001,CA,40.568160,-122.41519
50765,92555,CA,33.922823,-117.16837
50766,95991,CA,39.114138,-121.61960
50768,92804,CA,33.818165,-117.97304
50769,92618,CA,33.659639,-117.73948
50770,92563,CA,33.571185,-117.15362
60001,80631,CO,40.421845,-104.69175
60003,80501,CO,40.171484,-105.10033
60004,80601,CO,39.973251,-104.82407
60006,81401,CO,38.436409,-107.86250
60008,81101,CO,37.471802,-105.83471
60009,80033,CO,39.774341,-105.10036
60010,80524,CO,40.606962,-105.05106
60011,80204,CO,39.734686,-105.01966
60012,81004,CO,38.197344,-104.63310
60013,81301,CO,37.295888,-107.84945
60014,80218,CO,39.731237,-104.97133
60015,80228,CO,39.688278,-105.14558
60016,81212,CO,38.464212,-105.27973
60020,81003,CO,38.281052,-104.62567
60022,80909,CO,38.851493,-104.77856
60023,81502,CO,39.072831,-108.55000
60024,80045,CO,39.774341,-105.10036
60027,80304,CO,40.039784,-105.27938
60028,80218,CO,39.731237,-104.97133
60030,80538,CO,40.435645,-105.08726
60031,80907,CO,38.873692,-104.81869
60032,80220,CO,39.734387,-104.91678
60034,80113,CO,39.579454,-104.88288
60036,81050,CO,37.995879,-103.54001
60043,80810,CO,38.846982,-102.37913
60044,80701,CO,40.226357,-103.80625
60049,80487,CO,40.502772,-106.87521
60054,81501,CO,39.072831,-108.55000
60064,80210,CO,39.679437,-104.96473
60065,80229,CO,39.859585,-104.95943
60071,81416,CO,38.733901,-108.08219
60075,81601,CO,39.533318,-107.32107
60076,80751,CO,40.633845,-103.21574
60096,81657,CO,39.634566,-106.37077
60100,80012,CO,39.698387,-104.83956
60103,80027,CO,39.963322,-105.15053
60104,80031,CO,39.866785,-105.04143
60112,80124,CO,39.543478,-104.89644
60113,80122,CO,39.582604,-104.95834
60114,80138,CO,39.523171,-104.70607
60116,80026,CO,40.002156,-105.10036
60117,81301,CO,37.295888,-107.84945
60118,80443,CO,39.532506,-106.14029
60119,80538,CO,40.435645,-105.08726
60124,80228,CO,39.688278,-105.14558
70001,6511,CT,41.317197,-72.92798
70002,6105,CT,41.771166,-72.70255
70003,6260,CT,41.913816,-71.88434
70004,6069,CT,41.866222,-73.46331
70005,6721,CT,41.594785,-72.97889
70006,6904,CT,41.132096,-73.56423
70007,6320,CT,41.352498,-72.10338
70008,6076,CT,41.979871,-72.27863
70010,6610,CT,41.202091,-73.17080
70011,6790,CT,41.820274,-73.11787
70012,6066,CT,41.841615,-72.46708
